HR,RBI,AVG,OPS,yrsInLeague,ASG_Result
11,37,0.261484099,0.754186999,4,YES
23,66,0.237089202,0.817121479,3,YES
24,70,0.245098039,0.761132021,3,YES
20,79,0.271119843,0.782632197,5,YES
38,86,0.258741259,0.836300314,4,YES
20,87,0.273927393,0.749494465,4,YES
13,54,0.312039312,0.833117953,7,YES
11,55,0.248878924,0.695406714,1,YES
26,82,0.30964467,0.984349475,3,YES
13,63,0.268206039,0.731577703,2,YES
16,78,0.270377734,0.760725169,5,YES
7,46,0.223476298,0.629615163,5,YES
3,33,0.259640103,0.623452736,5,YES
26,92,0.295218295,0.889456161,3,YES
1,53,0.284090909,0.689593301,5,YES
1,37,0.286343612,0.690476834,4,YES
5,48,0.323450135,0.809270906,10,YES
5,33,0.275964392,0.728533998,2,YES
26,92,0.28340081,0.909414671,8,YES
4,53,0.27301092,0.719507723,3,YES
16,61,0.270833333,0.787243975,1,YES
3,35,0.285478548,0.738128865,3,YES
11,84,0.316923077,0.770635452,10,YES
12,43,0.243735763,0.677716625,1,YES
17,58,0.255855856,0.749069455,6,YES
9,42,0.238390093,0.64916092,2,YES
3,50,0.284974093,0.69350469,6,YES
12,39,0.24375,0.677093661,3,YES
17,65,0.278195489,0.782734037,3,YES
34,94,0.252892562,0.781678106,5,YES
11,51,0.263374486,0.73683388,4,YES
9,72,0.304270463,0.770284102,4,YES
33,96,0.262645914,0.828462903,2,YES
2,24,0.246231156,0.648444927,3,YES
22,78,0.261029412,0.779824133,12,YES
10,59,0.261954262,0.703447779,1,YES
10,61,0.265524625,0.723909287,5,YES
5,47,0.251318102,0.610503054,7,YES
4,29,0.280623608,0.711441808,2,YES
19,71,0.284172662,0.826820144,1,YES
4,47,0.25,0.637254902,7,YES
8,44,0.289719626,0.839738741,2,YES
7,74,0.306451613,0.752535589,10,YES
26,74,0.257142857,0.848056982,0,YES
7,31,0.227891156,0.656401115,1,YES
5,42,0.267206478,0.662679079,3,YES
21,89,0.310408922,0.873698725,5,YES
3,27,0.264285714,0.629795205,0,YES
6,50,0.276086957,0.691167408,2,YES
19,64,0.233393178,0.741891359,3,YES
14,34,0.217391304,0.705087339,6,YES
11,90,0.307570978,0.809033637,2,YES
24,68,0.23030303,0.765127628,6,YES
4,52,0.295010846,0.692967257,8,YES
1,32,0.256140351,0.605789474,10,YES
21,61,0.268181818,0.760128354,2,YES
20,61,0.261398176,0.828040773,4,YES
31,102,0.246938776,0.87114279,7,YES
11,53,0.271293375,0.718797969,2,YES
19,67,0.273056058,0.802812036,2,YES
6,36,0.316939891,0.876478071,3,YES
21,74,0.338422392,0.978202819,7,YES
17,55,0.254736842,0.755789474,6,YES
18,100,0.283121597,0.788666742,3,YES
13,90,0.312849162,0.823900475,3,YES
6,45,0.290566038,0.756669174,9,YES
20,88,0.319626168,0.903408376,2,YES
6,54,0.245901639,0.640988281,2,YES
17,82,0.281456954,0.777357301,8,YES
31,107,0.302973978,0.916304648,5,YES
31,100,0.277456647,0.848128993,3,YES
31,109,0.256849315,0.787619344,6,YES
1,37,0.309210526,0.726255981,1,YES
5,45,0.274193548,0.662464175,1,YES
29,102,0.304900181,0.9260152,5,YES
23,94,0.259259259,0.795878136,2,YES
21,89,0.289156627,0.807929735,5,YES
5,32,0.231578947,0.626651022,6,YES
1,24,0.22247191,0.564520764,3,YES
15,79,0.276632302,0.7778348,1,YES
2,29,0.208994709,0.541475885,2,YES
30,96,0.283171521,0.840337394,5,YES
17,57,0.3,0.929211971,8,YES
11,39,0.301038062,0.798457088,1,YES
14,56,0.231671554,0.707727503,5,YES
24,115,0.322862129,0.97459518,2,YES
11,41,0.273170732,0.714220183,7,YES
4,56,0.296208531,0.709073064,0,YES
9,55,0.264240506,0.709029719,6,YES
14,72,0.294392523,0.822373737,5,YES
1,30,0.210031348,0.568045249,3,YES
14,62,0.23956044,0.666054432,9,YES
25,83,0.268907563,0.783303228,1,YES
7,31,0.242424242,0.719296204,3,YES
35,91,0.308128544,0.951280436,1,YES
11,76,0.311504425,0.824993904,3,YES
23,71,0.26691042,0.815642508,8,YES
7,58,0.272988506,0.686905776,2,YES
16,66,0.283842795,0.824781659,3,YES
21,67,0.297450425,0.949395724,1,YES
4,28,0.274691358,0.673249839,4,YES
7,39,0.278688525,0.749069104,1,YES
15,42,0.25,0.816001132,1,YES
16,56,0.285964912,0.814153482,1,YES
8,54,0.247226624,0.686954867,1,YES
