G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,yrsInLeague,ASG_Result
140,494,67,150,45,2,12,59,0,4,29,51,2,4,2,2,12,2,YES
143,542,70,139,31,1,23,86,2,2,41,134,2,3,1,5,7,8,YES
141,461,80,136,22,3,27,97,3,2,30,114,1,4,0,2,15,4,YES
158,569,75,158,33,5,16,81,23,5,38,92,1,7,5,4,20,4,YES
121,464,67,117,28,2,16,50,4,1,37,84,3,2,1,4,9,5,YES
159,580,96,144,34,6,19,58,32,10,93,93,22,1,1,4,9,3,YES
109,388,63,107,19,3,7,52,4,4,52,64,2,1,5,5,12,5,YES
146,547,66,155,43,2,20,89,8,4,32,98,2,10,0,10,11,7,YES
160,631,93,175,35,7,10,77,14,4,54,102,1,5,8,10,25,9,YES
130,483,96,127,22,2,20,61,23,2,62,83,2,9,8,4,14,1,YES
146,570,102,167,30,8,14,58,36,11,45,69,2,7,5,0,8,5,YES
145,469,75,128,24,2,23,75,10,3,30,144,15,1,6,2,10,3,YES
153,584,78,161,30,5,20,98,25,9,44,75,3,6,2,8,21,7,YES
95,346,40,85,18,3,5,22,12,3,10,68,1,1,0,2,6,2,YES
84,292,31,59,18,1,18,50,1,2,14,72,1,2,1,2,5,2,YES
136,403,51,94,20,0,7,42,0,0,43,64,1,5,3,3,11,3,YES
152,570,85,165,33,7,28,91,13,1,37,105,4,1,1,7,16,3,YES
125,479,68,147,24,7,19,87,14,3,36,79,1,7,0,4,11,1,YES
161,609,92,160,28,1,38,125,7,4,70,158,7,4,1,7,9,5,YES
162,635,85,186,43,3,23,110,2,4,64,110,11,3,0,5,13,12,YES
155,664,114,202,29,5,13,57,51,15,60,99,12,1,1,3,10,9,YES
140,466,84,126,30,4,11,64,4,2,79,100,10,1,0,6,12,9,YES
89,351,49,96,13,3,1,26,33,11,34,39,0,2,8,3,4,0,YES
141,510,80,124,22,2,23,65,20,11,58,140,3,9,2,3,17,4,YES
131,467,64,130,24,4,16,71,2,2,77,49,5,1,3,7,20,17,YES
132,420,62,110,26,5,10,44,16,11,40,91,3,8,6,0,8,1,YES
143,543,75,142,31,0,13,75,8,5,49,88,10,0,1,3,15,6,YES
138,550,68,149,33,5,6,54,12,7,23,59,1,3,8,5,14,7,YES
109,405,59,106,24,3,12,47,10,4,18,76,2,18,2,2,13,5,YES
157,601,74,141,17,6,8,46,4,7,56,90,6,7,5,1,15,0,YES
150,544,98,167,35,1,14,52,0,3,84,72,9,8,2,4,19,4,YES
132,463,95,141,15,9,4,46,16,7,67,67,2,1,6,3,10,2,YES
149,539,65,137,31,1,29,87,9,4,25,120,6,5,0,4,17,1,YES
132,453,54,132,26,4,5,35,2,2,27,36,1,5,4,3,6,3,YES
79,300,42,83,10,0,15,42,2,3,32,39,3,1,0,3,6,3,YES
117,350,50,89,19,2,16,67,5,2,57,85,6,4,3,2,6,2,YES
151,623,121,180,14,10,3,43,109,22,70,126,0,3,5,1,7,2,YES
96,302,44,82,21,1,7,52,1,1,43,45,3,3,0,3,11,1,YES
145,556,75,158,28,2,11,61,22,5,53,53,3,3,11,4,12,5,YES
132,522,78,155,34,4,14,62,1,3,16,68,1,3,7,3,16,0,YES
160,651,112,175,32,4,29,83,11,4,76,184,0,25,0,2,5,7,YES
151,572,72,156,37,3,19,85,5,0,57,101,2,5,3,6,14,2,YES
132,341,28,82,21,3,6,31,7,1,17,56,1,1,1,3,12,2,YES
156,516,42,105,19,1,6,49,0,0,38,51,9,3,7,7,14,11,YES
99,390,50,122,22,4,12,51,12,2,27,69,0,1,13,7,12,0,YES
149,503,65,150,24,3,25,100,0,2,78,74,13,3,1,3,12,4,YES
119,388,46,88,19,2,9,44,3,1,33,67,3,1,7,5,11,3,YES
113,389,52,121,22,3,8,37,9,3,37,50,2,2,3,1,6,1,YES
90,298,52,87,17,2,19,47,3,3,33,65,4,4,0,2,6,0,YES
141,521,109,164,33,3,39,115,6,2,95,80,7,3,0,8,14,4,YES
147,591,86,158,21,11,6,36,49,14,44,80,3,5,7,1,6,3,YES
151,554,89,160,27,4,19,76,27,8,60,44,11,9,5,3,9,9,YES
158,609,67,140,18,5,0,35,57,15,71,49,1,5,23,4,9,2,YES
160,575,99,176,42,1,27,102,17,7,72,113,2,7,0,3,16,1,YES
139,468,52,123,20,2,12,49,3,4,13,61,3,7,1,4,12,0,YES
153,585,81,152,23,1,34,112,8,2,52,128,5,4,1,8,18,3,YES
127,455,61,120,23,0,16,61,16,7,44,83,8,2,1,4,4,0,YES
153,577,76,158,36,3,20,96,13,3,75,139,5,5,0,3,12,1,YES
151,577,96,178,41,7,17,87,34,9,44,69,7,6,1,10,9,4,YES
113,336,54,79,13,3,13,40,4,0,56,85,1,4,6,2,9,5,YES
148,539,71,167,36,4,15,88,11,8,54,68,6,5,5,4,12,6,YES
135,485,50,129,30,0,13,64,2,3,29,94,4,5,3,2,15,2,YES
154,589,74,185,28,4,13,72,5,4,54,62,2,3,3,4,17,8,YES
87,274,40,80,16,5,2,26,10,5,34,33,5,4,4,0,4,4,YES
138,475,56,118,32,2,10,58,12,3,34,60,8,7,4,1,12,1,YES
159,597,74,174,44,0,19,95,2,1,66,95,15,3,0,7,16,4,YES
131,411,51,113,20,3,10,66,6,4,36,46,1,0,5,4,17,4,YES
126,448,43,125,21,5,3,51,5,3,21,43,4,2,0,5,12,7,YES
129,434,47,118,19,5,4,34,14,7,34,64,9,2,5,2,4,3,YES
123,441,57,139,30,3,23,76,6,3,30,126,5,3,0,6,8,3,YES
154,639,125,212,48,6,29,81,51,14,52,95,3,7,4,4,10,2,YES
86,283,31,74,11,1,11,37,0,1,28,70,2,2,1,2,9,4,YES
149,426,57,101,21,2,23,66,26,17,75,135,11,8,2,3,10,3,YES
148,510,57,125,36,3,24,70,0,2,33,134,6,2,0,2,12,3,YES
141,509,67,138,24,2,20,79,1,2,54,90,2,0,4,4,15,5,YES
156,572,84,148,17,6,38,86,3,5,56,150,8,4,1,3,11,4,YES
161,606,72,166,26,3,20,87,2,3,48,120,3,0,1,7,17,4,YES
107,407,60,127,23,2,13,54,3,4,32,72,3,0,5,4,5,7,YES
130,446,37,111,22,1,11,55,0,1,47,94,7,2,0,7,13,1,YES
111,394,65,122,25,1,26,82,4,4,57,112,20,10,0,2,7,3,YES
152,563,61,151,34,3,13,63,3,2,47,81,12,1,0,5,26,2,YES
