G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,yrsInLeague,ASG_Result
132,454,63,123,16,6,1,38,27,17,61,50,0,2,7,2,6,1,NO
150,540,41,133,26,2,10,75,1,0,23,61,5,5,3,7,13,6,NO
159,574,66,147,28,3,27,93,0,0,72,132,7,0,2,2,13,10,NO
156,600,101,189,31,6,16,75,26,14,64,106,1,15,11,2,8,5,NO
141,529,58,146,30,3,11,85,5,1,50,88,2,4,0,6,22,7,NO
103,270,21,74,16,0,3,37,1,1,21,23,4,1,1,6,5,5,NO
116,267,39,81,14,0,14,59,1,0,28,47,5,0,0,6,6,11,NO
148,477,39,119,24,3,4,34,4,2,16,59,3,10,9,2,5,5,NO
148,533,50,138,31,4,11,66,2,2,36,140,3,3,0,7,7,1,NO
122,386,52,104,16,3,7,40,9,4,50,30,3,0,4,6,10,9,NO
136,499,70,123,36,2,14,80,14,11,35,105,8,5,2,11,7,12,NO
112,416,54,105,21,4,7,24,8,6,38,78,3,2,1,0,7,1,NO
103,267,27,57,14,2,4,19,1,1,30,71,0,2,1,1,4,3,NO
135,465,67,124,27,4,9,43,14,2,57,88,1,3,2,6,6,2,NO
85,306,37,71,4,2,1,15,20,7,28,34,0,1,6,1,6,6,NO
98,252,28,60,8,1,4,26,1,1,23,22,0,0,6,1,5,1,NO
153,513,65,132,35,2,9,57,10,6,61,102,5,3,5,4,16,3,NO
79,254,42,64,9,0,21,41,1,2,43,76,10,3,0,0,2,0,NO
105,337,36,86,9,7,9,30,2,5,13,45,4,2,0,5,10,2,NO
134,473,58,131,18,3,8,40,3,2,30,38,3,0,6,5,9,2,NO
104,299,55,80,22,1,12,48,4,0,26,85,2,1,1,6,5,3,NO
149,555,94,153,32,3,22,82,4,2,76,147,1,15,2,5,7,10,NO
144,540,87,162,31,6,12,75,10,2,59,61,3,9,1,3,14,3,NO
114,412,79,121,21,2,10,52,5,3,20,67,1,20,1,4,10,0,NO
137,472,36,127,18,1,9,34,1,2,48,59,2,0,1,2,12,10,NO
123,297,32,72,10,2,6,33,18,6,24,84,0,3,5,2,3,4,NO
129,438,64,110,19,0,21,66,4,2,54,72,4,0,2,2,9,3,NO
156,453,53,103,20,5,8,33,3,1,52,76,2,1,9,0,8,1,NO
155,570,66,140,23,3,15,69,12,8,54,109,2,4,0,6,14,2,NO
117,347,45,90,12,3,4,17,24,7,37,73,0,1,2,0,7,3,NO
134,509,68,140,27,5,11,59,4,1,36,122,1,1,1,3,8,1,NO
161,642,94,188,45,2,18,101,6,2,56,98,0,3,0,10,12,3,NO
104,337,44,95,15,7,3,42,18,5,22,49,1,2,7,3,6,2,NO
144,542,70,161,17,8,1,45,15,7,35,82,0,3,10,3,8,7,NO
143,422,76,116,24,1,17,68,19,11,33,67,1,6,4,2,8,7,NO
162,587,71,141,32,4,16,67,3,6,48,96,6,2,0,3,17,3,NO
129,499,80,146,18,13,2,44,49,6,51,61,2,4,7,5,5,7,NO
122,378,53,109,16,2,2,33,17,9,39,59,6,1,2,3,8,4,NO
118,442,69,129,28,4,20,85,8,8,34,78,4,6,0,7,9,6,NO
151,592,84,160,29,5,28,82,16,8,31,111,3,10,1,4,18,4,NO
80,278,32,72,16,1,9,49,18,5,19,65,2,2,0,5,11,5,NO
117,344,56,93,20,8,2,32,17,11,40,71,0,3,1,3,3,6,NO
157,614,84,176,47,3,20,110,11,8,61,120,7,2,1,4,15,1,NO
139,534,79,156,34,1,23,89,5,3,34,78,8,0,3,6,14,5,NO
120,469,74,144,15,7,3,39,42,17,40,74,2,9,10,5,9,2,NO
132,462,55,111,22,2,13,47,1,0,36,91,6,8,5,3,13,7,NO
122,374,35,84,13,2,17,55,0,0,33,65,4,1,2,5,16,6,NO
147,527,77,133,22,4,4,47,5,2,37,74,2,4,17,1,7,1,NO
103,411,50,110,14,9,0,46,23,7,39,30,3,1,6,5,9,2,NO
105,301,56,105,27,8,4,41,5,7,30,26,2,2,5,8,8,8,NO
152,561,85,164,27,6,16,67,48,13,59,84,4,0,0,2,10,3,NO
138,433,61,102,13,3,3,41,25,8,48,72,0,0,15,3,7,1,NO
127,461,72,116,11,6,1,27,21,9,34,95,0,2,8,4,5,2,NO
145,504,60,136,27,4,10,63,3,1,50,68,3,4,3,5,18,11,NO
93,255,21,67,8,0,4,31,0,0,24,48,1,2,5,4,6,4,NO
142,545,69,145,15,13,8,44,19,6,28,65,1,3,6,3,8,4,NO
147,528,76,153,23,3,10,66,4,3,40,56,0,10,17,11,13,8,NO
77,263,19,55,9,0,6,26,0,2,10,75,0,0,6,1,9,8,NO
144,369,45,80,16,4,5,34,17,11,30,75,0,5,10,3,10,1,NO
122,407,54,107,28,3,22,71,1,0,53,108,7,5,1,6,10,3,NO
140,501,68,127,28,1,30,74,1,2,37,145,2,17,0,5,11,4,NO
110,298,16,53,14,0,5,26,0,0,11,86,0,3,5,2,4,11,NO
154,554,72,140,30,8,17,73,9,7,71,102,2,0,1,2,8,10,NO
157,568,109,163,27,9,6,43,43,20,97,64,4,4,8,2,2,7,NO
72,291,37,75,11,6,2,28,5,9,36,38,0,0,3,1,2,0,NO
154,605,104,167,42,4,23,89,3,1,48,126,2,4,2,5,26,5,NO
75,278,37,73,11,0,3,26,10,2,27,38,0,3,4,2,5,8,NO
93,342,50,95,19,2,9,32,6,2,34,86,0,8,4,1,8,14,NO
103,285,33,79,15,1,6,23,2,4,17,58,0,4,4,0,6,2,NO
138,513,68,134,30,4,13,70,0,2,44,76,2,2,0,4,12,7,NO
148,576,96,164,15,8,5,42,66,12,68,54,3,2,4,1,7,1,NO
142,471,61,135,26,2,24,81,8,5,25,84,5,1,0,8,21,4,NO
144,587,92,166,38,4,13,85,1,1,48,54,0,1,1,10,17,7,NO
120,430,58,106,17,1,17,49,7,6,31,159,0,5,0,2,5,2,NO
131,438,60,112,16,2,9,37,7,1,42,84,2,2,1,1,6,2,NO
144,514,49,129,20,3,9,57,2,5,31,120,4,4,3,1,13,14,NO
119,326,34,84,16,1,13,45,0,2,13,77,0,1,0,3,10,10,NO
139,520,51,123,21,5,15,68,8,4,28,75,9,1,5,3,15,7,NO
106,449,61,144,33,5,7,45,3,2,13,32,1,1,5,4,10,0,NO
99,346,44,90,20,1,6,31,4,3,13,39,0,1,4,3,11,5,NO
150,515,49,138,26,5,5,46,19,8,24,44,0,6,11,2,9,2,NO
133,428,50,96,20,2,9,40,25,4,34,82,4,3,5,4,7,4,NO
134,481,52,124,16,2,14,45,24,9,17,80,8,2,8,2,4,3,NO
114,304,42,87,14,2,1,22,8,3,16,26,0,5,2,1,12,7,NO
122,412,45,91,16,1,14,64,2,0,57,119,2,2,0,5,6,9,NO
120,426,54,111,21,9,16,61,6,7,23,79,2,14,2,5,3,1,NO
109,367,44,79,12,2,5,29,3,2,33,71,2,1,9,1,3,2,NO
70,278,31,57,11,2,10,29,8,5,17,93,0,2,1,2,3,0,NO
150,474,73,133,17,8,7,54,9,5,46,96,11,2,5,3,8,5,NO
112,349,50,95,19,0,13,52,2,2,68,127,0,5,0,3,6,9,NO
116,324,37,86,13,1,1,27,3,2,24,27,2,5,6,4,10,1,NO
135,520,74,161,21,1,9,48,21,13,45,62,5,3,4,1,9,5,NO
150,555,85,137,24,2,42,102,1,2,42,166,0,8,0,5,19,3,NO
154,653,77,174,24,11,0,39,24,19,42,81,0,0,5,2,8,1,NO
121,394,43,92,21,1,9,47,2,1,42,88,2,2,1,1,13,10,NO
122,310,35,65,11,0,4,30,2,2,21,52,0,2,6,3,8,9,NO
108,301,31,73,14,1,2,29,1,1,8,25,2,0,4,3,5,10,NO
82,271,38,74,11,2,2,28,2,2,44,41,8,7,4,4,3,1,NO
84,296,32,76,19,0,8,53,5,3,33,64,0,3,3,1,8,1,NO
113,372,39,91,17,1,6,36,0,2,32,59,5,3,4,3,10,13,NO
150,569,57,135,32,3,23,72,0,0,38,144,3,3,0,3,10,4,NO
119,282,40,68,14,1,10,45,0,2,45,43,9,0,1,4,3,16,NO
130,405,72,115,30,3,13,61,3,3,59,114,7,2,1,2,9,3,NO
154,590,91,163,20,5,2,31,75,29,73,95,3,2,6,4,8,5,NO
149,577,76,152,25,4,15,56,18,7,26,64,0,2,5,4,12,2,NO
143,467,60,122,29,1,10,64,1,2,74,69,8,6,0,7,7,4,NO
129,264,36,68,8,2,6,26,8,2,58,81,0,2,3,0,7,6,NO
153,541,52,131,20,2,4,51,9,4,48,97,7,0,3,4,15,3,NO
144,557,94,155,28,2,17,78,8,3,65,77,1,3,2,3,11,3,NO
106,352,39,89,14,2,13,49,1,0,26,89,0,9,1,3,8,3,NO
125,386,53,111,16,0,14,63,0,1,50,52,2,1,0,4,14,14,NO
155,599,70,143,33,3,11,71,0,1,39,111,5,10,0,4,18,3,NO
144,566,105,155,20,7,6,45,16,8,83,79,2,0,9,6,8,13,NO
141,548,86,145,20,6,2,31,21,10,39,39,6,14,5,1,6,7,NO
127,492,66,144,32,2,16,84,4,2,13,72,0,4,1,7,11,0,NO
148,518,54,131,25,0,14,65,6,4,32,98,8,5,1,6,22,2,NO
135,470,62,122,28,0,15,64,2,1,28,59,1,3,5,4,8,6,NO
97,316,20,98,17,0,2,33,1,4,34,29,10,0,3,1,7,11,NO
117,290,34,76,15,0,6,27,11,6,28,46,2,2,0,2,7,1,NO
121,365,38,102,20,0,6,36,1,2,21,55,3,3,2,2,9,7,NO
142,546,77,138,25,2,1,43,2,1,64,60,1,3,11,5,12,8,NO
154,543,65,126,28,5,11,61,2,6,41,91,2,2,1,6,13,2,NO
93,260,37,58,7,5,5,23,7,3,20,20,4,2,1,0,5,1,NO
142,545,78,144,34,1,27,102,4,4,42,118,7,5,0,3,10,2,NO
106,317,18,74,13,4,1,23,1,1,26,38,9,0,1,1,0,10,NO
134,484,56,133,34,1,18,75,0,0,29,98,5,7,0,8,17,7,NO
90,347,49,101,26,1,2,26,2,0,19,78,0,6,1,0,5,6,NO
102,275,42,68,13,1,5,42,2,2,61,52,4,0,4,3,4,5,NO
98,325,38,81,11,4,1,20,13,2,29,45,0,2,6,2,7,1,NO
152,581,67,148,23,1,25,88,1,1,40,106,7,5,0,4,13,2,NO
139,525,64,148,26,9,19,65,21,7,34,93,4,2,1,4,6,1,NO
74,266,23,59,18,0,4,15,3,3,23,52,1,1,1,1,10,7,NO
120,453,60,126,23,3,4,37,25,11,26,70,1,2,8,5,7,4,NO
162,637,114,174,44,7,29,105,35,7,71,135,1,4,3,7,12,4,NO
140,398,40,92,15,3,9,58,5,9,27,63,0,0,2,5,9,3,NO
156,585,83,165,29,2,18,70,13,8,27,82,2,2,7,5,12,2,NO
116,430,50,114,27,2,17,64,11,3,25,83,0,3,1,5,9,5,NO
90,301,37,61,10,0,8,36,18,8,29,77,0,2,1,1,5,1,NO
87,299,33,69,9,2,1,26,1,1,32,45,0,1,4,1,4,9,NO
159,606,97,180,25,7,26,101,34,8,52,139,6,3,0,6,14,3,NO
128,469,71,142,29,4,18,72,11,7,52,69,10,0,3,3,10,7,NO
143,545,84,145,24,6,9,41,24,6,47,83,5,3,16,0,15,0,NO
146,439,53,108,23,0,7,39,6,7,19,83,0,2,12,1,11,9,NO
80,277,27,68,9,0,13,35,0,2,17,61,0,5,2,2,12,2,NO
135,366,46,75,17,2,10,34,14,9,16,57,0,1,5,4,3,8,NO
156,570,83,173,38,1,24,82,0,1,52,113,9,3,1,5,24,2,NO
92,259,47,74,12,1,12,40,6,4,37,31,3,1,1,7,3,2,NO
128,403,60,92,17,1,20,54,2,2,29,126,1,6,11,4,12,7,NO
91,303,29,70,14,2,14,37,3,0,21,90,3,1,0,1,9,3,NO
97,264,25,66,6,1,4,25,1,1,22,29,0,2,7,1,15,4,NO
102,322,42,94,17,2,12,40,1,5,15,67,1,4,9,1,5,0,NO
84,259,39,67,13,1,10,38,3,5,21,62,0,3,2,1,6,1,NO
133,423,44,114,20,1,13,52,0,0,65,107,11,7,6,4,17,4,NO
133,445,44,94,14,2,6,37,2,4,34,88,8,2,4,10,7,1,NO
124,441,64,110,25,1,11,52,4,0,40,76,1,8,4,7,13,4,NO
82,265,28,58,14,2,3,17,2,1,10,68,0,3,1,1,3,4,NO
145,556,66,132,39,1,7,61,7,3,47,96,0,0,0,2,18,5,NO
108,361,22,82,14,2,2,25,5,0,14,74,0,12,0,1,6,5,NO
87,308,26,73,7,1,2,19,1,0,12,58,1,2,7,2,8,0,NO
152,561,56,145,20,0,10,57,4,4,28,91,3,2,0,6,12,2,NO
127,397,29,101,26,0,2,24,1,3,24,23,1,0,3,2,15,8,NO
133,414,71,117,13,6,8,54,14,8,34,55,0,2,10,4,9,2,NO
92,317,32,75,17,1,8,39,0,1,15,33,2,2,1,7,16,8,NO
140,543,50,151,30,7,4,46,13,13,12,55,2,3,4,3,14,2,NO
140,528,62,158,32,4,12,70,4,3,31,71,4,4,3,3,11,4,NO
133,394,49,82,13,2,1,17,24,5,52,124,0,1,1,0,8,5,NO
126,302,41,78,16,2,7,29,0,1,12,54,1,6,9,2,8,1,NO
132,415,47,117,21,3,4,40,11,10,30,29,5,1,8,3,8,4,NO
133,402,58,115,18,3,27,89,5,1,47,80,7,1,0,4,10,8,NO
108,261,31,69,16,1,3,36,0,1,23,17,2,2,4,5,5,6,NO
95,321,27,65,15,3,7,24,1,3,24,101,0,4,1,1,7,1,NO
120,354,38,99,25,4,9,52,7,9,27,43,0,2,1,6,4,1,NO
126,433,46,117,13,2,6,48,4,1,26,74,2,10,6,5,5,11,NO
152,513,65,141,28,4,9,44,7,4,41,87,8,6,9,5,3,1,NO
115,402,31,96,15,1,7,59,0,2,41,66,1,3,3,5,16,12,NO
90,275,27,66,11,2,1,28,2,6,32,54,1,2,2,3,8,1,NO
132,474,45,111,18,1,9,54,3,1,14,88,1,3,9,3,21,5,NO
118,322,44,95,21,2,5,48,1,0,21,27,2,0,1,3,8,6,NO
89,269,48,80,12,1,10,38,19,6,29,57,0,0,0,1,5,5,NO
116,355,58,107,20,1,16,66,0,2,34,67,2,1,0,4,13,1,NO
158,540,63,136,9,6,4,41,4,9,72,51,16,0,13,0,18,3,NO
101,283,30,64,17,4,8,41,3,2,44,93,1,3,1,3,3,0,NO
69,251,37,76,19,1,11,49,5,6,30,47,5,2,0,2,8,6,NO
139,539,79,125,13,6,4,34,44,8,37,91,0,2,4,7,8,5,NO
134,470,40,115,20,6,6,49,3,3,21,44,0,0,11,6,17,4,NO
132,290,30,75,15,0,6,27,6,5,17,21,3,2,4,4,13,10,NO
116,344,37,75,12,2,0,19,20,4,26,25,0,2,24,3,7,4,NO
104,321,41,70,9,1,0,26,1,3,39,21,1,3,6,3,6,6,NO
89,268,24,60,14,2,5,25,3,2,15,69,1,0,3,3,7,1,NO
116,294,34,75,15,0,2,21,3,3,33,67,0,0,6,2,4,12,NO
118,333,33,68,17,3,4,29,4,5,13,63,0,6,6,4,4,3,NO
159,547,58,137,19,4,2,47,8,4,12,52,1,1,12,5,14,1,NO
145,580,83,182,30,3,7,58,31,13,30,24,10,4,4,2,13,5,NO
72,272,30,71,14,0,10,42,6,4,14,60,0,5,1,2,6,2,NO
154,537,92,139,29,0,21,77,1,1,100,105,12,2,0,6,11,4,NO
141,525,90,160,38,5,20,77,6,3,59,88,0,4,1,7,6,2,NO
142,456,63,123,24,2,12,46,5,2,38,101,2,1,8,4,7,2,NO
131,436,74,136,27,6,24,76,8,7,37,101,6,1,0,4,6,1,NO
151,522,55,117,14,3,13,53,4,6,89,96,7,2,2,4,6,5,NO
149,529,83,147,19,5,1,30,33,9,34,88,0,11,11,2,6,2,NO
160,552,65,129,18,0,22,81,0,0,78,76,3,7,0,4,15,6,NO
95,324,40,83,16,3,12,53,2,0,15,46,2,3,0,4,13,3,NO
134,430,55,122,27,1,16,67,8,8,40,98,4,1,3,3,8,7,NO
136,312,37,80,12,6,2,22,22,6,23,61,1,1,2,2,2,5,NO
92,260,20,54,9,1,6,31,0,0,39,34,2,2,6,2,20,11,NO
124,409,48,108,27,4,4,42,0,0,20,55,4,2,8,7,8,2,NO
145,499,79,99,17,2,32,85,7,4,83,211,7,9,0,5,8,3,NO
149,526,67,143,25,4,20,77,10,2,49,65,1,0,1,2,7,6,NO
152,569,79,158,31,9,19,84,10,4,55,86,14,5,3,3,8,6,NO
119,355,30,84,11,0,5,34,1,2,50,73,11,8,4,2,8,4,NO
158,580,62,154,30,2,12,82,0,1,35,68,3,3,2,5,12,9,NO
128,407,47,99,15,2,8,43,3,9,45,79,6,2,7,2,10,5,NO
104,329,47,91,17,1,7,38,7,4,41,46,1,4,5,1,17,8,NO
159,583,82,167,29,4,12,96,19,12,70,74,6,2,3,9,18,3,NO
142,521,67,142,30,2,20,86,6,2,45,84,3,6,7,8,8,3,NO
145,429,59,123,16,1,3,38,12,3,37,32,5,5,12,2,16,3,NO
121,387,53,99,22,2,14,49,1,1,21,114,2,3,4,3,4,7,NO
90,250,38,64,14,3,10,24,0,2,23,65,2,13,0,3,4,2,NO
105,341,32,71,8,3,10,38,5,2,19,79,3,3,13,0,9,4,NO
120,447,66,132,25,4,14,66,4,7,43,68,6,7,3,7,7,2,NO
140,506,68,120,12,3,23,73,5,3,45,103,1,5,0,5,12,1,NO
103,263,26,70,15,3,1,23,10,3,30,37,6,0,2,4,4,3,NO
96,268,28,52,11,2,11,38,4,1,48,46,1,5,1,4,1,3,NO
132,475,95,133,25,2,6,41,30,17,65,88,0,2,1,2,7,4,NO
153,565,85,160,24,1,18,70,16,5,46,122,3,3,13,2,14,4,NO
150,557,102,158,41,5,24,109,6,0,62,130,5,10,0,6,11,5,NO
116,418,59,104,19,3,22,54,6,4,39,153,3,7,0,3,6,2,NO
87,267,32,63,9,1,3,24,13,1,24,80,1,5,4,3,4,5,NO
155,493,54,111,14,4,5,36,17,7,51,69,0,2,20,4,4,9,NO
136,452,59,115,35,0,14,63,4,5,40,128,1,3,1,7,9,5,NO
131,417,52,103,18,4,9,49,4,5,24,92,2,2,9,7,3,1,NO
153,497,86,109,21,1,24,69,3,3,82,135,6,4,1,4,14,4,NO
106,279,39,67,11,2,10,33,13,6,22,80,1,0,1,1,8,4,NO
101,290,52,70,9,0,24,51,3,3,61,73,5,5,0,4,1,4,NO
111,359,46,98,28,0,4,40,6,2,33,58,6,3,2,2,11,5,NO
110,351,42,83,15,0,20,46,3,0,23,104,0,9,0,1,12,1,NO
85,278,17,72,17,0,8,31,0,2,10,22,4,2,0,4,10,6,NO
87,338,30,89,12,1,2,27,0,0,26,65,0,1,0,4,10,8,NO
146,502,77,131,23,6,9,33,41,12,68,60,2,1,12,1,11,3,NO
123,384,66,105,27,4,4,43,11,2,45,62,0,5,1,2,9,9,NO
139,507,71,125,31,3,19,57,21,4,43,132,0,1,1,1,6,3,NO
90,274,20,63,18,0,6,31,0,1,24,50,1,1,1,1,5,7,NO
85,251,29,60,11,1,10,34,1,0,26,94,1,4,0,0,2,6,NO
142,479,63,123,20,0,9,61,0,1,36,36,2,1,4,8,15,3,NO
95,292,15,70,12,0,0,25,2,2,18,30,4,0,4,1,5,1,NO
143,572,66,145,18,10,0,30,9,7,37,73,1,0,21,3,13,4,NO
132,383,29,91,12,0,1,17,5,9,28,46,4,1,6,4,4,4,NO
159,626,103,181,33,5,33,123,2,4,65,115,15,1,0,7,13,10,NO
146,546,64,164,33,2,18,79,21,12,16,112,2,5,1,4,12,1,NO
100,289,29,61,11,2,10,33,6,3,35,84,0,0,2,1,1,1,NO
95,260,36,71,9,3,1,19,4,1,14,16,1,0,4,1,5,3,NO
126,452,49,121,14,4,15,65,17,9,20,105,4,1,0,5,8,3,NO
145,539,74,143,23,1,3,45,33,12,72,84,0,7,9,4,9,2,NO
116,289,37,85,14,0,5,35,0,2,38,34,2,0,2,4,7,13,NO
118,389,42,111,27,2,5,51,0,1,50,58,7,0,1,3,16,5,NO
108,383,49,87,25,2,15,56,8,5,56,73,2,4,0,5,5,2,NO
105,299,38,71,17,2,9,36,3,3,26,77,1,2,1,2,11,2,NO
155,614,77,179,38,7,7,59,19,10,41,107,1,3,9,8,12,3,NO
150,534,74,145,34,3,19,73,2,4,38,85,3,3,0,4,13,5,NO
96,279,27,72,15,0,3,31,0,3,44,20,8,2,4,1,6,6,NO
81,266,33,69,18,2,10,41,1,1,30,94,4,7,0,1,3,1,NO
115,410,44,104,13,3,12,47,3,1,19,59,3,4,0,1,4,10,NO
147,541,84,150,28,6,17,71,20,12,80,65,3,2,1,9,8,6,NO
146,368,35,87,14,4,5,32,4,2,22,57,1,2,3,1,7,2,NO
150,612,83,173,28,1,1,65,7,3,40,35,1,7,20,8,16,6,NO
124,364,46,94,14,3,11,55,2,1,45,42,1,6,4,4,10,9,NO
98,301,37,78,19,0,8,43,4,0,17,38,0,2,6,5,9,8,NO
91,306,38,75,14,1,10,39,2,0,22,35,4,0,1,2,18,6,NO
148,480,50,115,12,1,4,38,1,2,33,61,0,1,5,2,17,5,NO
121,379,52,109,31,4,15,54,1,2,20,68,3,3,0,3,4,2,NO
132,251,28,61,11,0,5,31,0,0,17,65,0,5,0,5,6,10,NO
140,462,69,117,14,6,16,51,29,1,38,150,2,4,5,2,1,2,NO
156,622,62,183,41,7,15,79,8,3,29,80,8,1,3,3,13,4,NO
141,527,68,133,31,2,15,69,4,4,43,113,0,4,16,1,14,6,NO
118,403,25,94,13,0,7,46,1,1,26,57,8,1,7,3,15,10,NO
153,593,104,199,36,12,14,90,16,7,51,59,5,6,2,8,16,2,NO
137,467,59,110,19,5,13,77,13,6,59,98,4,2,0,3,17,2,NO
140,502,58,154,25,0,9,73,0,1,26,22,7,7,1,10,15,13,NO
138,445,50,118,17,1,2,35,9,3,46,53,5,4,6,4,7,3,NO
104,324,47,82,17,1,14,48,2,5,36,67,2,0,1,1,5,1,NO
144,503,72,139,33,3,22,84,5,2,23,85,1,0,0,5,18,4,NO
113,261,44,76,11,2,16,45,5,4,26,60,2,2,1,1,6,5,NO
98,320,21,71,7,0,1,19,3,3,16,27,0,2,6,3,6,6,NO
116,370,55,112,25,4,9,44,6,6,26,49,2,6,2,1,7,9,NO
154,561,87,141,27,0,25,75,26,12,62,76,7,12,2,8,16,7,NO
117,348,50,90,22,0,11,45,1,1,43,60,1,1,1,2,12,9,NO
153,598,66,158,42,1,20,97,2,1,23,106,3,9,0,3,23,11,NO
128,482,64,128,28,4,7,38,6,3,56,82,3,1,1,1,8,6,NO
142,569,100,165,26,5,21,101,8,5,40,86,0,3,3,13,17,4,NO
93,312,35,83,12,4,0,33,2,8,28,21,3,2,6,1,7,4,NO
154,581,71,127,28,2,12,40,18,6,40,115,2,1,9,4,7,3,NO
134,356,59,82,14,0,0,15,30,10,74,61,4,4,6,2,5,7,NO
130,439,60,113,21,2,18,51,14,7,38,66,6,2,2,3,7,7,NO
114,381,59,102,24,0,8,52,0,2,60,56,1,7,0,5,10,10,NO
121,400,65,116,31,3,14,57,3,3,31,86,0,6,1,1,9,0,NO
157,571,82,158,36,1,17,103,5,4,70,76,5,0,0,6,15,4,NO
91,261,29,67,6,1,4,24,3,0,20,25,0,2,3,3,2,4,NO
114,422,52,96,23,0,13,47,8,9,53,92,6,4,1,3,18,10,NO
111,356,43,93,18,2,4,34,7,5,28,62,1,6,5,1,14,0,NO
124,419,44,113,18,2,1,27,27,12,44,49,0,2,9,2,9,11,NO
106,313,40,66,10,2,4,23,27,9,36,106,3,3,6,1,3,3,NO
122,393,55,119,22,3,21,64,2,4,16,73,1,1,3,3,14,10,NO
121,336,55,107,15,8,3,32,36,10,23,41,0,0,3,1,5,4,NO
99,294,40,69,14,1,11,42,1,1,49,101,1,4,0,1,4,10,NO
120,287,37,62,18,0,11,36,1,1,14,70,3,3,1,2,6,1,NO
96,341,44,75,21,0,18,41,3,1,36,91,6,5,1,2,8,4,NO
121,450,59,108,24,0,21,66,5,2,38,121,6,0,0,2,9,1,NO
139,582,85,144,17,11,4,38,59,13,44,133,0,0,5,2,5,4,NO
106,283,33,70,13,1,8,37,2,1,27,40,2,1,0,5,3,12,NO
126,384,50,108,14,3,1,40,2,5,58,39,1,9,3,2,4,6,NO
157,609,74,169,24,4,10,52,27,14,36,49,7,3,16,5,10,2,NO
130,402,34,92,13,2,5,36,0,1,34,79,4,2,1,4,7,6,NO
103,371,51,93,19,2,17,61,0,0,22,93,2,7,0,1,13,4,NO
162,604,66,171,40,0,15,57,9,6,36,74,2,8,12,6,19,3,NO
97,315,40,79,15,1,11,39,0,2,46,71,2,4,4,2,11,1,NO
118,325,39,86,18,4,0,21,23,5,19,86,1,0,5,1,9,3,NO
137,512,74,139,25,3,23,76,2,2,45,88,2,11,1,2,12,5,NO
71,250,31,69,10,1,14,44,3,6,22,29,7,0,0,4,12,13,NO
98,272,40,70,12,4,3,19,14,2,30,55,5,1,3,2,3,6,NO
138,561,72,138,33,4,15,35,4,0,31,113,0,3,2,3,11,1,NO
136,473,54,127,25,2,10,79,3,1,59,59,6,8,1,8,7,11,NO
117,347,42,69,15,0,22,65,0,2,48,106,1,1,0,5,6,9,NO
96,340,40,104,10,1,1,34,5,1,34,19,6,0,0,2,15,1,NO
144,540,93,159,37,5,18,92,25,9,62,89,1,3,4,6,8,1,NO
114,387,74,116,22,3,8,65,13,5,35,41,2,5,3,7,7,5,NO
106,431,68,133,18,3,5,31,16,2,33,68,0,2,2,3,12,0,NO
97,316,30,79,17,1,1,29,1,1,25,50,3,3,4,3,10,7,NO
162,580,85,143,33,0,29,84,2,1,70,163,3,8,0,2,13,2,NO
87,262,34,64,14,0,9,33,2,1,20,60,1,0,2,1,6,5,NO
141,477,50,117,26,8,8,51,11,10,32,88,4,2,1,7,9,2,NO
123,404,50,110,18,3,13,56,34,7,18,94,0,1,3,4,6,4,NO
80,324,47,98,21,5,0,23,7,10,12,55,0,0,0,2,5,10,NO
157,602,81,147,23,5,17,57,0,4,48,65,4,0,5,6,11,9,NO
123,327,32,82,20,2,1,31,7,2,11,48,0,2,12,1,4,8,NO
108,265,32,62,12,3,1,13,9,5,24,43,1,1,6,1,2,4,NO
125,302,33,86,17,2,5,32,14,6,21,31,1,1,6,3,3,8,NO
112,253,28,59,14,1,2,15,3,4,27,44,1,2,3,1,2,5,NO
145,411,47,113,27,6,7,56,12,2,54,106,5,3,0,4,2,1,NO
142,436,51,96,26,1,13,45,1,4,37,59,2,1,0,1,11,7,NO
123,358,32,75,17,0,7,32,3,0,19,76,4,4,7,2,8,2,NO
95,267,24,61,13,3,5,34,0,0,16,45,1,0,9,3,2,7,NO
138,442,45,116,25,3,4,41,11,9,26,55,4,7,4,3,9,7,NO
79,252,34,65,7,1,6,42,4,4,28,28,1,4,0,2,6,1,NO
126,396,50,122,20,7,11,55,5,5,34,77,2,5,0,6,11,0,NO
119,342,29,86,13,2,13,53,0,2,39,46,7,0,1,3,16,10,NO
115,362,50,101,19,3,3,46,11,1,47,54,2,4,1,7,9,5,NO
117,370,44,102,15,3,11,55,5,3,34,110,0,6,2,4,9,0,NO
100,250,29,58,8,2,4,20,10,4,22,53,4,3,0,0,2,4,NO
119,277,47,83,16,3,8,40,6,4,45,43,2,5,0,2,4,4,NO
141,456,62,132,28,0,13,51,2,2,74,41,3,3,2,4,13,11,NO
134,412,30,112,19,4,3,35,1,2,51,38,6,6,1,2,10,8,NO
134,497,38,137,19,1,19,81,0,0,15,53,2,2,1,2,13,9,NO
108,305,24,74,14,1,6,27,1,1,11,59,1,4,5,1,7,6,NO
98,350,36,75,15,2,2,21,2,6,19,80,0,1,1,0,13,0,NO
79,262,31,62,14,1,10,30,6,2,23,66,4,0,2,1,7,5,NO
118,341,50,91,14,6,10,42,3,2,23,62,2,4,1,3,8,6,NO
132,369,49,94,28,5,18,64,3,1,53,95,4,2,0,1,8,2,NO
